Fase,Fechas,Local,Visitante,Marcador_Predicho,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,Detalle
Dieciseisavos,28 jun - 3 jul,Alemania,Ecuador,1-0,Alemania,1.82,0.85,73.6,19.7,6.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Francia,Argelia,1-0,Francia,1.86,0.73,82.5,14.2,3.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Corea del Sur,Canadá,1-1 (pen),Corea del Sur,1.33,1.21,36.9,38.6,24.5,Empate 1-1; gana en penaltis
Dieciseisavos,28 jun - 3 jul,Países Bajos,Brasil,1-2,Brasil,1.54,1.43,33.3,30.1,36.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Colombia,Croacia,0-1,Croacia,1.2,1.64,13.5,24.0,62.5,Tiempo regular
Dieciseisavos,28 jun - 3 jul,España,Austria,2-1,España,1.87,1.12,53.1,33.0,13.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Turquía,Australia,1-0,Turquía,1.58,1.17,44.0,26.2,29.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Bélgica,Egipto,1-0,Bélgica,1.77,0.84,78.0,15.2,6.8,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Marruecos,Japón,1-0,Marruecos,1.26,1.05,47.8,30.9,21.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Costa de Marfil,Senegal,0-1,Senegal,1.01,1.42,18.5,30.3,51.2,Tiempo regular
Dieciseisavos,28 jun - 3 jul,México,Escocia,1-0,México,1.82,1.07,74.7,19.6,5.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Inglaterra,Noruega,2-1,Inglaterra,2.04,1.04,71.4,19.7,9.0,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Argentina,Uruguay,1-0,Argentina,1.74,0.95,63.5,24.7,11.8,Tiempo regular
Dieciseisavos,28 jun - 3 jul,EE. UU.,Irán,0-1,Irán,1.21,1.26,24.4,29.0,46.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Suiza,Bosnia-Herzegovina,2-1,Suiza,1.84,1.2,56.1,24.3,19.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Portugal,Sudáfrica,1-0,Portugal,1.75,0.89,76.0,15.8,8.2,Tiempo regular
Octavos,4 - 7 jul,Alemania,Francia,1-2,Francia,1.29,1.66,18.9,33.5,47.6,Tiempo regular
Octavos,4 - 7 jul,Corea del Sur,Brasil,0-1,Brasil,1.06,1.61,13.9,37.8,48.3,Tiempo regular
Octavos,4 - 7 jul,Croacia,España,1-2,España,1.2,1.83,11.3,39.4,49.2,Tiempo regular
Octavos,4 - 7 jul,Turquía,Bélgica,1-2,Bélgica,1.18,1.88,12.9,31.2,55.8,Tiempo regular
Octavos,4 - 7 jul,Marruecos,Senegal,0-1,Senegal,1.23,1.21,34.7,28.9,36.5,Tiempo regular
Octavos,4 - 7 jul,México,Inglaterra,0-1,Inglaterra,1.02,1.86,9.4,17.7,72.8,Tiempo regular
Octavos,4 - 7 jul,Argentina,Irán,1-0,Argentina,1.73,0.92,65.6,24.3,10.1,Tiempo regular
Octavos,4 - 7 jul,Suiza,Portugal,1-2,Portugal,1.24,1.79,16.1,25.0,58.9,Tiempo regular
Cuartos,9 - 11 jul,Francia,Brasil,1-0,Francia,1.73,1.06,70.4,22.7,6.9,Tiempo regular
Cuartos,9 - 11 jul,España,Bélgica,2-1,España,1.75,1.24,46.0,43.8,10.1,Tiempo regular
Cuartos,9 - 11 jul,Senegal,Inglaterra,0-1,Inglaterra,1.06,1.6,16.6,27.4,56.0,Tiempo regular
Cuartos,9 - 11 jul,Argentina,Portugal,2-1,Argentina,1.57,1.34,43.0,38.6,18.4,Tiempo regular
Semifinales,14 - 15 jul,Francia,España,1-1 (pen),Francia,1.49,1.41,31.9,39.8,28.3,Empate 1-1; gana en penaltis
Semifinales,14 - 15 jul,Inglaterra,Argentina,0-1,Argentina,1.4,1.39,30.3,34.6,35.2,Tiempo regular
3er Puesto,18 jul,España,Inglaterra,1-1 (pen),España,1.47,1.38,34.6,40.5,24.9,Empate 1-1; gana en penaltis
Final,19 jul,Francia,Argentina,1-0,Francia,1.51,1.28,41.5,32.2,26.3,Tiempo regular
