,R32,Octavos,Cuartos,Semis,Final,Campeon
Francia,100.0,94.5,70.5,60.2,39.4,28.6
España,100.0,78.0,64.1,54.6,32.6,20.2
Inglaterra,100.0,93.7,82.2,64.8,39.4,17.8
Argentina,100.0,80.2,70.2,52.7,33.1,16.4
Portugal,100.0,88.9,72.6,33.7,13.8,4.0
Alemania,100.0,89.8,30.2,17.9,8.5,4.0
Bélgica,100.0,89.1,74.6,24.3,7.8,3.0
Países Bajos,99.9,55.0,44.6,15.5,6.0,2.3
Croacia,99.8,80.3,24.3,12.2,3.5,0.9
Brasil,100.0,63.4,41.7,11.3,3.7,0.6
Senegal,98.4,67.0,34.8,10.7,3.1,0.5
Marruecos,99.8,53.1,33.6,7.7,2.5,0.5
Austria,99.5,26.1,10.2,3.6,0.9,0.2
México,99.6,78.4,14.4,5.1,1.3,0.2
Irán,98.2,62.7,14.8,4.6,1.0,0.2
Uruguay,99.6,20.2,11.1,3.5,0.6,0.2
Japón,99.7,29.8,14.2,2.8,0.7,0.1
Suiza,98.8,63.8,17.2,3.4,0.5,0.1
Turquía,96.4,54.1,12.8,2.3,0.3,0.0
Noruega,92.1,26.4,6.6,1.4,0.3,0.0
Costa de Marfil,98.4,31.3,9.0,1.7,0.3,0.0
Colombia,99.2,22.4,6.2,1.8,0.2,0.0
EE. UU.,88.3,32.0,3.8,0.6,0.1,0.0
Argelia,94.7,14.8,2.8,0.4,0.1,0.0
Canadá,97.1,52.6,9.5,1.2,0.1,0.0
Corea del Sur,91.8,51.7,9.7,0.6,0.1,0.0
Australia,86.3,21.7,3.1,0.4,0.0,0.0
Ecuador,96.2,18.3,3.1,0.4,0.0,0.0
RD Congo,33.6,4.1,0.7,0.1,0.0,0.0
Suecia,26.1,3.4,0.7,0.1,0.0,0.0
Cabo Verde,20.3,2.5,0.4,0.0,0.0,0.0
República Checa,44.2,7.5,1.0,0.0,0.0,0.0
Egipto,91.4,14.8,2.0,0.2,0.0,0.0
Sudáfrica,39.0,6.6,0.8,0.1,0.0,0.0
Bosnia-Herzegovina,42.6,6.2,0.8,0.1,0.0,0.0
Escocia,87.4,7.1,0.6,0.0,0.0,0.0
Panamá,24.0,2.7,0.4,0.0,0.0,0.0
Túnez,12.2,1.7,0.3,0.0,0.0,0.0
Paraguay,10.8,1.4,0.2,0.0,0.0,0.0
Uzbekistán,8.6,0.8,0.1,0.0,0.0,0.0
Arabia Saudí,1.7,0.0,0.0,0.0,0.0,0.0
Catar,22.4,1.6,0.1,0.0,0.0,0.0
Curazao,0.1,0.0,0.0,0.0,0.0,0.0
Ghana,0.6,0.1,0.0,0.0,0.0,0.0
Haití,0.5,0.0,0.0,0.0,0.0,0.0
Irak,0.2,0.0,0.0,0.0,0.0,0.0
Jordania,0.2,0.0,0.0,0.0,0.0,0.0
Nueva Zelanda,0.3,0.0,0.0,0.0,0.0,0.0
